;saglik;spor;magazin;ekonomi;ortalama
Precision;0.9722222222222222;1.0;0.987012987012987;0.8695652173913043;0.9572001066566284
Recall;0.875;0.9875;0.95;1.0;0.953125
F-Score;0.9210526315789473;0.9937106918238994;0.9681528662420381;0.9302325581395349;0.9532871869461049
